?????,????? (Question),????? (Context),???????????? (Ground_truth),Answer (Rules-Base),Answer (llm),Answer (Hybrid),Category
,???????????????????????????????? ????????? ??????????????????????????,,"1)  ????????????????????? 
2)  ???????????????????????????? (System Analyst and Designer)
3)  ???????????????????????????????????? (Programmer or Software Developer)
4)  ????????????????????????????????????? (Network Administrator)
5)  ???????????????????? (Database Administrator)
6)  ???????????????? (Full Stack Web)
7)  ??????????????????????????????????? (Data Scientist and Data Engineer)
8)  ??????????????????? (UX/UI Designer)
9)  ?????????????????? ??????? ???????????????? (Game, Multimedia, and Virtual Reality Designer/Developer)
10)  ????????????????? (Software Tester)
11)  ?????????????????????????????????????????????? (IoT Software Developer)
12)  ???????????????? (Digital Innovator)
13)  ???????????????? (Project Manager) ??? Agile Coach
14)  ????????????????????????????????????????????????????????????????
15)  ???????????????????????????????????????????????????????????????
16)  ???????????????????????????????????????????????",,,,
,?????????? Advanced Intelligent Interdisciplinary Integration (AIII) ??????????????????,,"??????????????????????????????????????????????????????????????????
?????????????????????????????????
    Applied Machine Learning in X
    Applied AI in X
    Applied Optimization in X
    Intelligent Cybersecurity Applications
    Intelligent Supply Chain
    Smart (Smart X) Digital Token, Decentralized Applications
",,,,
,???????????????? Advanced Smart Computing ?????????,,"???????????????????
??. ??.???? ?????? (?????????????????)
??. ??.??????? ??????????????
??. ??.??????? ??????
?.???? ??????????
?. ??.???????? ?????????
?. ??.?????? ?????????
?. ??.?????? ??????",,,,
,???????????????????????????????,,"123 ?????????????? ?.??????? ?.??????? ?.???????????? ?.??????? 40002
???????? 043-009700 ??? 50528
Hot Line. 089-7102651, 089-7102645
Email : computing.kku@kku.ac.th

??????????? ????????????? ??????? ???????????????????????????????
??????? ?????? ?????? ????????? ?????????????????????????????????????????
???. 043-009700 ???  50528",,,,
,???????????????????????????? ???????????????????????????????? ??????????????????,,?????????? ??????? ?????????????????????????,,,,
,???? Network ?????????????? ????????????,,"????????????? ?????  	?????????????????????",,,,
,????????????????????????????,,"https://drive.google.com/file/d/1QdYr8fF-02TvHUjL4qKwzQcPpbwWt6
Bk/view",,,,
,??????????????????????????,,"https://sites.google.com/kku.ac.th/cprp?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExT
UNRSHBKQ3FFWkExR3JGWQEeTeukAFQnB4fdVXZIG7OnDmdCdWIV89PCdN62dk4Eo1ETnX_s5GMyAixDCTg_aem_-eavI9h28uTaVu2HemCF2A",,,,
,??????????????????????,,"CP-?????????????????????????????? W
????? https://drive.google.com/file/d/1it1BCE3mYSEOXNI1POAI0vK0vwtUNHuN/view",,,,
,???????????????????????,,????????????????? ????? https://drive.google.com/file/d/1D0E8lZsbobW0Ks1jMRRW0f-ygKo_qQ-2/view,,,,
,?????????????????????????????????? ??????????????,,"- CP-CG00155 B.Sc. CS 2555 ???????????????????????? (???? 55 ?????????)
Link https://drive.google.com/file/d/1bKuM9Y8tNnBIlSDjqVq2G3szIV3NZSCl/view
- CP-CG00160 B.Sc. CS 2560 ???????????????????????? (???? 60 ?????????)
Link https://drive.google.com/file/d/1sxakHd-HN38h4wjn8qj1yIzNGqTsZ2T2/view
- CP-CG00254 B.Sc. ICT 2554 ???????????????????????? (???? 54 ?????????)
Link https://drive.google.com/file/d/1PSr1VpUQU3vmZ1ZAKToSzy2_XJ3ngBJo/view
- CP-CG00259 B.Sc. IT 2559 ???????????????????????? (???? 59 ?????????)
- CP-CG00264 B.Sc. IT 2564 ???????????????????????? (???? 64 ?????????)
- CP-CG00355 B.Sc. GIS 2555 ???????????????????????? (???? 55 ?????????)
- CP-CG00360 B.Sc. GIS 2560 ???????????????????????? (???? 60 ?????????)
",,,,
,??????????????????? ??????????,,"- ???????????????? ????? https://docs.google.com/document/d/1zffD4H7ssXpMRImTay9FbD53TADwetWl/edit?rtpof=true&sd=true&tab=t.0
- ????????????????-?????????? 2568
- ??????????????????????????????????????????-????????-68
- ???????????????????????????????????(update)
- ?????????????????????????
- KKUCP-T000_????????????????????
- KKUCP-T001_????????????????????
- KKUCP-T002_???????????????????????????????????????
- KKUCP-T003_??????????????????????????????????????????????-Proposal
- KKUCP-T004_??????????????????????????????????????
- KKUCP-T005_??????????????????????????????????????????????
- KKUCP-T006_????????????????????????????
- KKUCP-T006_(GIS) ????????????????????????????
- KKUCP-T007_??????????????????????????????????",,,,
,??????????????????????????????????? ?????? 2 ???????????????????,,"???????? NETSAT
SAT 1 ?????????????
- ??????? 15
- ?????? 10 
- ?????????? 20
- ??????????????????????? 40
SAT 2
- ???? 0
- ???????? 0
- ??????? 15 
??? 100%",,,,
,"????????????????????????????????????????????
????????????????????? ????????? ??????????????????",,"?????????????????????
?????????????
??????????????? ????????????????????????????????????????????????????????????????????? ISI-WOS ???? Scopus ???????????????? Q1 ???? Q2 ???? Q3 ?????????????? 1 ??????
??????????????
??????????????? ???????????????????????????????????????????? ?????????????????? ISI-WOS ????? Impact Factor ?????????????? 2 ?????? ???????????????? Q1 ???? Q2",,,,
,????????????????????????????????????? ,,"Web Hosting https://computing.kku.ac.th/digitalsv-webhosting
Virtual Machine https://computing.kku.ac.th/virtual-machine
Apple Store https://computing.kku.ac.th/apple-store
Google Play https://computing.kku.ac.th/google-play",,,,
,???????????? Web Hosting ,,"??????? 1 ?????????????????????, ??????? 2 ???????????? Web Hosting ??????, ??????? 3 ????????  ",,,,
,??????????????????????,,"??????????? ?????? ???????? ??????? ??????????????????????? ????????

??????????? ????? 
???????? ????????? 3 
?????????????????????????????
??????? ?????????????????",,,,
,???????????????????????????????????????? ????????????????,,"1. ?????????????????????????? ??????????????????????????? 3.75
2. ?????????????????????????? ??????????????????????????? 3.50",,,,
,??????????????????????????????????????????????????????????????????????????????????????????????,,https://computing.kku.ac.th/content/scholarship-detail/9,,,,
,??????????? ??? Portfolio ??????????????????????????????????,,"?????????? 2568 ?????????????????????????????????? https://api.computing.kku.ac.th//storage/documents/2025-7-4-1752656868-undefined.pdf

?????????? 2569 (????) https://api.computing.kku.ac.th//storage/documents/2025-9-6-1758251361-undefined.pdf",,,,
,????????????? 3 ??????????????????????,,"TGAT
- TGAT2 20
- TGAT3 5
A-Level
- 61 ????? 1 25
- 64 ??????? 15
- 65 ???? 10
- 66 ???????? 10
- 82 ?????? 15", ,,,
,??????? ?????????????????????????? (GIS) ?????? ,,"??????? 15,000
???????? ??????????",,,,
,????????????????????????????????????????????????? ????????????????,,CP-???????????????????????_?????????? ?????????????,,,,
,??????????????????????????????? ????????????????,,CP-?????????????????????,,,,
,?????????????????????????,,CP-????????????????? ?????????????,,,,
,??????????????????????? I-SERG ??????????,,"????????????? AI4SE, SE4AI, Computational Intelligence for Software Engineering, Formal verification, Software Analytics, Software Quality, Secure Software Engineering ??? Software development practices",,,,
,??????????????????? I-SERG ?????????,,"??.??. ??????? ????????
??.??. ?????? ???????
??.??. ??????? ??????",,,,
,??????????????????????????? I-SERG ???????,,chitsutha@kku.ac.th,,,,
,?????????????????? ?????? ??????????? ,,???????????????????????????????????? ?????? ??????????? ,,,,
,????? ?????? 2 ??????????????????????????,,???????????????????????????????,,,,
,??????????????????????????????????????????? : Ph.D. (Geo-Informatics) ,,"???????? 
3.1 ??????????????
3.1.1 ???????????????????????? 1.1
**SC337 991 ????????????????? 1 (Dissertation Seminar I) 1(1-0-2)

3.1.2 ???????????????????????? 1.2
**SC337 992 ????????????????? 2 (Dissertation Seminar II) 1(1-0-2) 
	 
",,,,
,???????????????????????????????????,,?????????? ???? ????????????? ??????????,,,,
,???????????????????????????????? ,,???????????????????????????? https://docs.google.com/document/d/1cVq2vCizT8zUtAVsVRd9u_EFuGev5q6p/edit,,,,
,?????????????????????????? ?????????????????????????????? ???????????????? : M.Sc. (Data Science and Artificial Intelligence) International Program ???????????,,2 ??????????,,,,
,??????????????????????? ChatGPT Plus ,,"???????????????????????????????? ??????? 
1 ????????  ??????? 
2 ???????????????????",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
